Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.302781612265344,3.3604117935779048,0.19607843458652496,0.393382340669632
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.2595272765440098,3.78262380992665,0.18137255311012268,0.27941176295280457
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.2261009192934225,3.458932638168335,0.24509803950786593,0.36029410362243647
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(2, 2)",2Capas,2.4239608633751963,4.189430395762126,0.11764705926179884,0.2071078419685364
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(2, 2)",3Capas,2.3736596948960247,4.288416226704915,0.09803921729326248,0.1666666716337204
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(3, 3)",2Capas,2.3642349243164062,4.159848446939505,0.12254901975393297,0.20098039507865903
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)",[32],"(3, 3)",3Capas,2.3495640614453484,4.251262403001972,0.12745098769664764,0.18504901230335236
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.3664724873561487,4.034105506597781,0.1617647111415863,0.23651960492134091
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.338308210466422,3.839563271578621,0.19607843458652496,0.28799018263816833
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(3, 3)",2Capas,2.018399759834888,2.6813632834191417,0.3382352888584137,0.5208333134651184
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)","[32, 16]","(3, 3)",3Capas,2.0729721737842928,3.0314184497384464,0.29901960492134094,0.46446079015731806
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)",[32],"(2, 2)",2Capas,2.401272320279888,4.3677785256329695,0.10294117778539656,0.13725490868091583
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)",[32],"(2, 2)",3Capas,2.341571064556346,4.157059435750924,0.11274509876966476,0.19607843458652496
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)",[32],"(3, 3)",2Capas,2.34399702502232,4.261428748860078,0.1715686321258545,0.19240196049213407
relu,Falso,Drop0,Verdadero,adamax,"(3, 3)",[32],"(3, 3)",3Capas,2.3307164743834847,4.298832827923345,0.14705882966518402,0.18137255311012268
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.334662685207292,4.109828088797776,0.15196079015731812,0.21813724935054776
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.3162556349062453,4.396848341997932,0.10784313827753068,0.13112744688987732
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.243056292627372,4.069113305970734,0.19117647409439087,0.21813724935054776
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.169887608172847,3.251519062939812,0.27450981736183167,0.40196079015731806
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)",[32],"(2, 2)",2Capas,2.411867146398507,4.263784604914048,0.09803921729326248,0.1556372493505478
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)",[32],"(2, 2)",3Capas,2.341748779895259,4.433493782492245,0.11274509876966476,0.12990196049213407
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)",[32],"(3, 3)",2Capas,2.3653228376425948,4.3971609788782455,0.11764705926179884,0.14338235557079315
relu,Falso,Drop0,Verdadero,nadam,"(2, 2)",[32],"(3, 3)",3Capas,2.348448678558948,3.720821268418256,0.20098039507865903,0.3137255012989044
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.2922568321228027,4.025329617892995,0.22058823704719543,0.22671568393707275
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.1988987034442378,3.0785747883366605,0.31862744688987726,0.42279410362243647
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.9733529371373797,3.42463363385668,0.3284313678741455,0.3774509727954865
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)","[32, 16]","(3, 3)",3Capas,2.0062808593114214,3.168486735400032,0.3382352888584137,0.4313725531101226
